Time,FC,PAS,PAM,PAD
7440,114.834,68.1053,80.6888,35.8336
7470,114.659,70.8947,82.5382,34.1366
7500,114.562,64.5358,76.273,34.8842
7530,114.946,63.9899,80.7081,35.7545
7560,116.511,66.7474,80.9469,37.3627
7590,115.827,65.1096,79.8868,36.8425
7620,115.181,63.5451,82.605,34.65
7650,115.83,68.6799,78.9336,34.1792
7680,117.262,70.4688,77.6993,36.4024
7710,114.146,67.594,75.9898,35.3046
7740,116.774,68.2225,78.5228,35.4337
7770,116.237,68.8198,78.16,37.6481
7800,117.094,68.3644,76.4623,35.6604
7830,113.659,63.754,78.1729,38.7332
7860,114.926,68.818,80.0037,38.1667
7890,117.034,63.8446,79.6448,38.2014
7920,116.055,65.0452,77.3699,37.5359
7950,115.065,63.5135,77.5817,35.1527
7980,116.833,67.6016,78.3269,34.2029
8010,115.051,67.0858,77.8451,33.7389
8040,116.206,66.4089,78.407,35.9827
8070,116.581,69.2729,77.6915,37.6113
8100,114.881,66.3949,78.1001,35.7223
8130,115.282,66.2473,80.0525,37.7919
8160,115.771,67.1215,78.6932,38.1475
8190,116.119,59.9607,79.2369,37.3528
8220,115.068,64.2723,78.9803,35.7829
8250,116.88,68.1332,76.8176,35.8712
8280,116.35,62.2886,79.1951,37.9918
8310,115.229,71.2974,76.7871,38.6172
8340,116.115,68.8315,79.2486,35.8642
8370,116.447,62.6289,78.9356,35.2403
8400,116.715,68.937,79.6782,37.1604
8430,116.768,64.1106,78.4451,38.1577
8460,115.173,61.1703,76.4217,36.4666
8490,94.1037,52.9317,63.2763,38.4375
8520,93.4181,52.4291,64.0791,35.9218
8550,92.5125,47.8573,61.2104,36.9276
8580,92.4871,45.1171,59.9715,38.7305
8610,92.2365,46.1754,60.632,38.2204
8640,92.2477,45.7796,59.6773,38.3139
8670,92.6985,44.5264,59.8989,37.3559
8700,92.4146,48.0826,61.1236,35.7147
8730,93.0454,46.8505,61.4928,35.6462
8760,92.2127,48.5945,58.5985,36.9836
8790,92.7876,45.2672,61.2229,37.6704
8820,92.8692,47.3291,59.8198,37.4591
8850,94.3669,46.2239,59.0118,35.6028
8880,93.6464,49.8385,61.229,35.2656
8910,82.4669,41.7281,53.0856,36.3275
8940,90.5074,56.7761,69.7363,62.667
8970,92.7486,71.7441,88.4793,60.6853
9000,90.392,69.585,87.7576,62.2006
9030,90.7525,72.4166,86.0325,62.7533
9060,90.1074,73.9988,86.4148,63.8189
9090,90.3363,73.3654,85.5292,63.2045
9120,91.7673,75.347,88.655,62.6675
9150,91.4664,71.6024,89.243,62.8601
9180,92.5017,71.5118,86.7871,63.2133
9210,92.2585,70.0051,89.1548,63.7061
9240,90.4989,72.4546,87.2122,61.9572
9270,90.0398,73.2342,85.8725,60.5769
9300,91.1735,71.8094,85.5201,62.2802
9330,90.1856,69.9671,86.7396,62.834
9360,90.2524,70.1959,86.7585,62.5415
9390,91.5589,71.099,86.6465,61.7261
9420,91.9489,73.5154,86.129,61.9096
9450,92.3855,70.031,86.8863,60.256
9480,91.8887,74.5048,87.2671,62.8036
9510,91.4164,73.0778,88.5745,63.6302
9540,90.0475,74.4989,87.2164,60.6843
9570,92.8393,74.2925,88.7288,60.5151
9600,92.8501,70.3339,88.2117,62.1616
9630,91.3835,69.3978,89.1427,60.8158
9660,92.094,70.0129,87.8409,62.2497
9690,90.7167,69.2027,87.5947,63.6498
9720,92.4753,69.4031,87.8245,61.5149
9750,91.8865,71.6907,86.3593,62.8104
9780,90.6727,73.7267,88.7024,61.0404
9810,91.5509,73.2266,86.5305,62.1517
9840,92.4047,69.225,85.4276,61.3856
9870,90.0346,75.2068,87.254,63.0536
9900,90.2071,69.7498,86.5365,61.5477
9930,90.1929,74.5533,86.4179,63.7281
9960,92.5948,74.7189,86.469,62.2519
9990,90.7783,72.6145,86.2665,62.2065
10020,90.7454,69.5624,88.4249,63.2633
10050,91.7443,71.5147,89.381,62.1992
